session,condition,topic,assessment_language,topic_completeness,logic_composition,expressiveness,language_mastery,complexity,vocabulary_text_linking,language_constructs,assessment_quality
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,Student,International tourism is now more common than ever before (for),3,5,5,4,6,5,4,4,3
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-4,The Non-Issue of Same Sex Marriage,4,6,6,6,6,6,6,6,4
g6h2au00q9nlgjblnvxhl0uh7y9x3juv,ChatGPT-4,Using animals for the benefit of the human beings,3,4,4,4,4,4,4,4,3
iidiehcofyz0c0u11g2vu3nmgpjqlj15,ChatGPT-3,International tourism is now more common than ever before (for),1,5,4,3,4,4,4,4,0
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,ChatGPT-4,Gender Equality at university admission,3,4,2,5,1,2,3,4,1
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-4,Should students be taught to compete or to cooperate?,1,5,4,5,5,5,6,5,0
bnpk5arlgchs81ch0so6l8ult9uqyqiy,Student,International tourism is now more common than ever before (against),3,5,5,3,5,5,5,5,0
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-3,Should students be taught to compete or to cooperate?,5,6,6,5,6,6,6,6,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,ChatGPT-3,Living and studying overseas,4,4,3,2,6,3,3,5,3
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,More people are migrating to other countries than ever before,5,5,6,6,6,5,5,5,3
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,Will newspapers become a thing of the past?,4,5,6,5,6,6,5,6,3
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-4,Using animals for the benefit of the human beings,5,6,6,5,6,6,5,5,4
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,ChatGPT-4,Museums as a form of entertainment or education?,3,5,5,2,1,5,1,1,0
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-3,Computer replace  man power in jobs,3,4,4,4,5,3,5,4,3
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,ChatGPT-4,Should students be taught to compete or to cooperate?,3,5,5,5,6,5,5,6,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-4,More people are migrating to other countries than ever before,1,4,4,2,5,3,3,3,2
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,International tourism is now more common than ever before (against),0,2,3,4,4,4,4,3,0
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-3,Computer replace  man power in jobs,1,3,4,4,4,4,4,3,0
3ekw2nmnlpi8xlds6evadnvk99e4tznt,Student,The Non-Issue of Same Sex Marriage,5,4,3,4,6,5,5,5,1
csp5ciwsydqgtz6uq9l3a9145gcmq3as,ChatGPT-3,Why you should exercise,2,5,5,5,6,4,4,4,2
wwmqz42o3int4rtr1s5ea0oycp6kerm5,Student,Should students be taught to compete or to cooperate?,2,5,4,4,5,2,3,4,2
